Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 2016,30.1,24,26.9,36.3,295.51,25.9,89.4,87.66,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 2016,31,24.6,27.6,36.3,135.37,25.9,74.5,82.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 2016,30.5,23.7,27.6,35.4,48.4,24.1,64.4,77.39,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 2016,31.1,24,27.1,36.7,348.42,25.9,88.4,85.87,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 2016,29.1,23.8,26.5,34.7,377.65,22.3,93.7,89.93,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Sep) 2016,31.1,23.6,27.3,37.6,73.33,22.3,66.8,83.38,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2016,31.1,23.2,26.6,37.6,95.56,22.3,73.8,86.96,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2016,34.1,24.2,28.6,40.8,0,22.3,47.9,75.13,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2016,36.1,23.6,29.4,40.7,0,20.5,44.2,61.45,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2016,35.1,21.6,28.3,36.9,0,22.3,19.1,56.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2016,36.1,20.2,28.6,37.8,0,20.5,4.2,46.31,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2016,35.1,18.4,27.4,34.7,0,18.4,3.4,44.98,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2016,35.1,18.2,28.2,39.6,0,18.4,12.4,50.55,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2016,35.1,18.2,27.5,35,0,16.6,3.7,44.72,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 2016,36.1,19.6,27.7,39,0,18.4,5,54.18,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 2016,34.1,16.4,26.7,36.6,0,18.4,9.4,50.65,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 2016,34.1,16.4,28.1,35.6,0,20.5,16.9,48.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 2016,33.1,18.5,26.2,33,0,18.4,7,52.91,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 53 (Dec) 2016,34.1,17.8,26.2,33.7,0,20.5,0.7,47.28,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 2017,30.1,18.6,25.6,30.1,0,14.8,1.4,55.21,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 2017,33.1,16.9,24.8,31.4,0,24.1,5.5,56.89,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 2017,31.1,14.9,23.7,34,0,22.3,6,55.91,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 2017,33.1,19.4,25.8,35,0,20.5,11.2,52.76,,Stem Rot
